Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Crop Name (crop_name),Crop Code (crop_code),Crop Type (crop_type),Season (season),Area (area),Area Unit (area_unit),Production (production),Production Unit (production_unit),Yield (yield),Yield Unit (yield_unit)
"2021-2022","Chhattisgarh","22","Korba","383","Gram","201.0","Pulses","Rabi",51,"Hectare",32,"Tonnes",0.627,"Tonnes/Hectare"
"2021-2022","Gujarat","24","Dangs","444","Rice","101.0","Cereals","Summer",18,"Hectare",53,"Tonnes",2.944,"Tonnes/Hectare"
"2021-2022","Gujarat","24","Tapi","641","Maize","104.0","Cereals","Summer",784,"Hectare",1772,"Tonnes",2.26,"Tonnes/Hectare"
"2021-2022","Gujarat","24","Vadodara","461","Urad","203.0","Pulses","Kharif",67,"Hectare",40,"Tonnes",0.597,"Tonnes/Hectare"
"2021-2022","Gujarat","24","Vadodara","461","Urad","203.0","Pulses","Summer",2,"Hectare",2,"Tonnes",1,"Tonnes/Hectare"
"2021-2022","Gujarat","24","Vadodara","461","Urad","203.0","Pulses","Total",69,"Hectare",42,"Tonnes",0.609,"Tonnes/Hectare"
"2021-2022","Haryana","6","Ambala","58","Arhar/Tur","202.0","Pulses","Kharif",1,"Hectare",1,"Tonnes",1,"Tonnes/Hectare"
"2021-2022","Haryana","6","Ambala","58","Bajra","103.0","Cereals","Kharif",95,"Hectare",220,"Tonnes",2.316,"Tonnes/Hectare"
"2021-2022","Haryana","6","Ambala","58","Barley","107.0","Cereals","Rabi",13,"Hectare",40,"Tonnes",3.077,"Tonnes/Hectare"
"2021-2022","Haryana","6","Hisar","63","Cowpea(Lobia)","288.0","Pulses","Kharif",3,"Hectare",0,"Tonnes",0,"Tonnes/Hectare"
"2021-2022","Haryana","6","Jhajjar","64","Gram","201.0","Pulses","Rabi",30,"Hectare",31,"Tonnes",1.033,"Tonnes/Hectare"
"2021-2022","Haryana","6","Karnal","67","Garlic","508.0","Spices","Whole Year",768,"Hectare",0,"Tonnes",0,"Tonnes/Hectare"
"2021-2022","Haryana","6","Karnal","67","Gram","201.0","Pulses","Rabi",13,"Hectare",16,"Tonnes",1.231,"Tonnes/Hectare"
"2021-2022","Haryana","6","Karnal","67","Jowar","102.0","Cereals","Kharif",5,"Hectare",0,"Tonnes",0,"Tonnes/Hectare"
"2021-2022","Haryana","6","Kurukshetra","68","Moth","209.0","Pulses","Kharif",2,"Hectare",0.4,"Tonnes",0.2,"Tonnes/Hectare"
"2021-2022","Haryana","6","Rewari","72","Gram","201.0","Pulses","Rabi",8,"Hectare",6,"Tonnes",0.75,"Tonnes/Hectare"
"2021-2022","Haryana","6","Sirsa","74","Maize","104.0","Cereals","Kharif",34,"Hectare",60,"Tonnes",1.765,"Tonnes/Hectare"
"2021-2022","Jharkhand","20","Dhanbad","325","Masoor","205.0","Pulses","Rabi",42,"Hectare",25,"Tonnes",0.595,"Tonnes/Hectare"
"2021-2022","Jharkhand","20","Pakur","337","Urad","203.0","Pulses","Kharif",1497,"Hectare",1153,"Tonnes",0.77,"Tonnes/Hectare"
"2021-2022","Karnataka","29","Bagalkote","524","Urad","203.0","Pulses","Rabi",2,"Hectare",1,"Tonnes",0.5,"Tonnes/Hectare"
"2021-2022","Karnataka","29","Kolar","542","Wheat","106.0","Cereals","Rabi",1,"Hectare",1,"Tonnes",1,"Tonnes/Hectare"
"2021-2022","Karnataka","29","Mandya","544","Gram","201.0","Pulses","Rabi",55,"Hectare",38,"Tonnes",0.691,"Tonnes/Hectare"
"2021-2022","Nagaland","13","Kiphire","614","Ragi","105.0","Cereals","Kharif",30,"Hectare",20,"Tonnes",0.667,"Tonnes/Hectare"
"2021-2022","Nagaland","13","Mon","247","Bajra","103.0","Cereals","Kharif",40,"Hectare",29,"Tonnes",0.725,"Tonnes/Hectare"
"2021-2022","Nagaland","13","Wokha","250","Wheat","106.0","Cereals","Rabi",65,"Hectare",119,"Tonnes",1.831,"Tonnes/Hectare"
"2021-2022","Odisha","21","Balasore","346","Urad","203.0","Pulses","Total",766,"Hectare",262.9,"Tonnes",0.343,"Tonnes/Hectare"
"2021-2022","Odisha","21","Deogarh","351","Urad","203.0","Pulses","Summer",1,"Hectare",0.5,"Tonnes",0.5,"Tonnes/Hectare"
"2021-2022","Odisha","21","Deogarh","351","Urad","203.0","Pulses","Total",1200,"Hectare",432,"Tonnes",0.36,"Tonnes/Hectare"
"2021-2022","Odisha","21","Deogarh","351","Urad","203.0","Pulses","Winter",19,"Hectare",6.7,"Tonnes",0.353,"Tonnes/Hectare"
"2021-2022","Odisha","21","Jharsuguda","357","Urad","203.0","Pulses","Summer",8,"Hectare",3,"Tonnes",0.375,"Tonnes/Hectare"
"2021-2022","Odisha","21","Khordha","362","Ragi","105.0","Cereals","Total",4,"Hectare",2.3,"Tonnes",0.575,"Tonnes/Hectare"
"2021-2022","Odisha","21","Khordha","362","Ragi","105.0","Cereals","Winter",2,"Hectare",1.3,"Tonnes",0.65,"Tonnes/Hectare"
"2021-2022","Puducherry","34","Puducherry","600","Rice","101.0","Cereals","Rabi",5226,"Hectare",16090,"Tonnes",3.079,"Tonnes/Hectare"
"2021-2022","Punjab","3","Bathinda","28","Maize","104.0","Cereals","Kharif",100,"Hectare",400,"Tonnes",4,"Tonnes/Hectare"
"2021-2022","Punjab","3","Fazilka","651","Gram","201.0","Pulses","Rabi",1100,"Hectare",1400,"Tonnes",1.273,"Tonnes/Hectare"
"2021-2022","Punjab","3","Hoshiarpur","33","Gram","201.0","Pulses","Rabi",100,"Hectare",200,"Tonnes",2,"Tonnes/Hectare"
"2021-2022","Rajasthan","8","Ajmer","86","Linseed","1005.0","Oilseeds","Rabi",5,"Hectare",2,"Tonnes",0.4,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Guntur","506","Cowpea(Lobia)","288.0","Pulses","Rabi",10,"Hectare",10,"Tonnes",1,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","Nicobars","603","Arecanut","507.0","Spices","Rabi",206.5,"Hectare",95.6,"Tonnes",0.463,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","Nicobars","603","Banana","606.0","Fruits","Whole Year",416.5,"Hectare",1164.5,"Tonnes",2.796,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","Nicobars","603","Black Pepper","501.0","Spices","Rabi",2.4,"Hectare",0.059,"Tonnes",0.025,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","Nicobars","603","Cashewnut","619.0","Fruits","Rabi",15,"Hectare",8,"Tonnes",0.533,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","Nicobars","603","Coconut","1006.0","Oilseeds","Whole Year",13752,"Hectare",106600000,"Tonnes",7751.6,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","Nicobars","603","Dry Chillies","502.0","Spices","Rabi",19.5,"Hectare",19.8,"Tonnes",1.015,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","Nicobars","603","Dry Ginger","588.0","Spices","Rabi",0.6,"Hectare",0.75,"Tonnes",1.25,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","Nicobars","603","Maize","104.0","Cereals","Rabi",1.5,"Hectare",1.7,"Tonnes",1.133,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","Nicobars","603","Sugarcane","401.0","Sugar","Autumn",5.5,"Hectare",30.1,"Tonnes",5.473,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","Nicobars","603","Sweet Potato","703.0","Vegetable","Rabi",6,"Hectare",126.5,"Tonnes",21.083,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","Nicobars","603","Turmeric","504.0","Spices","Rabi",2,"Hectare",1.2,"Tonnes",0.6,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","North And Middle Andaman","632","Arecanut","507.0","Spices","Rabi",2527.2,"Hectare",5386.13,"Tonnes",2.131,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","North And Middle Andaman","632","Arhar/Tur","202.0","Pulses","Rabi",2.7,"Hectare",0.5,"Tonnes",0.185,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","North And Middle Andaman","632","Banana","606.0","Fruits","Whole Year",924.58,"Hectare",5818.57,"Tonnes",6.293,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","North And Middle Andaman","632","Black Pepper","501.0","Spices","Rabi",9.36,"Hectare",2.89,"Tonnes",0.309,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","North And Middle Andaman","632","Cashewnut","619.0","Fruits","Rabi",12.2,"Hectare",5.32,"Tonnes",0.436,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","North And Middle Andaman","632","Coconut","1006.0","Oilseeds","Whole Year",1336.55,"Hectare",5680000,"Tonnes",4249.747,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","North And Middle Andaman","632","Dry Chillies","502.0","Spices","Rabi",44.15,"Hectare",163.22,"Tonnes",3.697,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","North And Middle Andaman","632","Dry Ginger","588.0","Spices","Rabi",92.3,"Hectare",353.91,"Tonnes",3.834,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","North And Middle Andaman","632","Groundnut","1001.0","Oilseeds","Rabi",5.5,"Hectare",3.1,"Tonnes",0.564,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","North And Middle Andaman","632","Maize","104.0","Cereals","Rabi",11.71,"Hectare",35.14,"Tonnes",3.001,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","North And Middle Andaman","632","Moong(Green Gram)","204.0","Pulses","Rabi",200.29,"Hectare",65.48,"Tonnes",0.327,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","North And Middle Andaman","632","Rapeseed &Mustard","1004.0","Oilseeds","Rabi",0.55,"Hectare",0.13,"Tonnes",0.236,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","North And Middle Andaman","632","Sesamum","1003.0","Oilseeds","Rabi",1.65,"Hectare",1,"Tonnes",0.606,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","North And Middle Andaman","632","Sugarcane","401.0","Sugar","Autumn",47.1,"Hectare",205.26,"Tonnes",4.358,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","North And Middle Andaman","632","Sweet Potato","703.0","Vegetable","Rabi",23.03,"Hectare",202.23,"Tonnes",8.781,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","North And Middle Andaman","632","Turmeric","504.0","Spices","Rabi",54.2,"Hectare",176.63,"Tonnes",3.259,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","North And Middle Andaman","632","Urad","203.0","Pulses","Rabi",356.39,"Hectare",107,"Tonnes",0.3,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","South Andamans","602","Arecanut","507.0","Spices","Rabi",1372.2,"Hectare",9904.45,"Tonnes",7.218,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","South Andamans","602","Banana","606.0","Fruits","Whole Year",420.6,"Hectare",10881,"Tonnes",25.87,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","South Andamans","602","Black Pepper","501.0","Spices","Rabi",38.16,"Hectare",43.46,"Tonnes",1.139,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","South Andamans","602","Cashewnut","619.0","Fruits","Rabi",5.5,"Hectare",4.53,"Tonnes",0.824,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","South Andamans","602","Coconut","1006.0","Oilseeds","Whole Year",2815.25,"Hectare",19480000,"Tonnes",6919.457,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","South Andamans","602","Dry Chillies","502.0","Spices","Rabi",34.3,"Hectare",157.32,"Tonnes",4.587,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","South Andamans","602","Dry Ginger","588.0","Spices","Rabi",16.5,"Hectare",117.72,"Tonnes",7.135,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","South Andamans","602","Maize","104.0","Cereals","Rabi",46.6,"Hectare",79,"Tonnes",1.695,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","South Andamans","602","Moong(Green Gram)","204.0","Pulses","Rabi",10.33,"Hectare",2.69,"Tonnes",0.26,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","South Andamans","602","Sugarcane","401.0","Sugar","Autumn",92.65,"Hectare",2751,"Tonnes",29.692,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","South Andamans","602","Sweet Potato","703.0","Vegetable","Rabi",20.6,"Hectare",273.54,"Tonnes",13.279,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","South Andamans","602","Turmeric","504.0","Spices","Rabi",6.55,"Hectare",59.11,"Tonnes",9.024,"Tonnes/Hectare"
"2021-2022","Andaman And Nicobar Islands","35","South Andamans","602","Urad","203.0","Pulses","Rabi",5.55,"Hectare",0.04,"Tonnes",0.007,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Arecanut","507.0","Spices","Kharif",1214,"Hectare",9685,"Tonnes",7.978,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Arhar/Tur","202.0","Pulses","Kharif",64861,"Hectare",1686,"Tonnes",0.026,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Bajra","103.0","Cereals","Kharif",1374,"Hectare",1035,"Tonnes",0.753,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Bajra","103.0","Cereals","Rabi",40,"Hectare",30,"Tonnes",0.75,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Bajra","103.0","Cereals","Total",1414,"Hectare",1065,"Tonnes",0.753,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Castor Seed","1002.0","Oilseeds","Kharif",9233,"Hectare",1514,"Tonnes",0.164,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Castor Seed","1002.0","Oilseeds","Rabi",97,"Hectare",16,"Tonnes",0.165,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Castor Seed","1002.0","Oilseeds","Total",9330,"Hectare",1530,"Tonnes",0.164,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Coconut","1006.0","Oilseeds","Whole Year",422,"Hectare",7749000,"Tonnes",18362.559,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Coriander","509.0","Spices","Kharif",51,"Hectare",33,"Tonnes",0.647,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Coriander","509.0","Spices","Rabi",532,"Hectare",346,"Tonnes",0.65,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Coriander","509.0","Spices","Total",583,"Hectare",379,"Tonnes",0.65,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Cotton(Lint)","1101.0","Fiber Crops","Kharif",42806,"Hectare",33668,"Tonnes",0.787,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Cotton(Lint)","1101.0","Fiber Crops","Rabi",566,"Hectare",445,"Tonnes",0.786,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Cotton(Lint)","1101.0","Fiber Crops","Total",43372,"Hectare",34113,"Tonnes",0.787,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Cowpea(Lobia)","288.0","Pulses","Kharif",265,"Hectare",49,"Tonnes",0.185,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Cowpea(Lobia)","288.0","Pulses","Rabi",102,"Hectare",105,"Tonnes",1.029,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Cowpea(Lobia)","288.0","Pulses","Total",367,"Hectare",154,"Tonnes",0.42,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Dry Chillies","502.0","Spices","Kharif",10598,"Hectare",4462,"Tonnes",0.421,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Dry Chillies","502.0","Spices","Rabi",518,"Hectare",779,"Tonnes",1.504,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Dry Chillies","502.0","Spices","Total",11116,"Hectare",5241,"Tonnes",0.471,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Ginger","503.0","Spices","Kharif",3,"Hectare",8,"Tonnes",2.667,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Gram","201.0","Pulses","Kharif",8,"Hectare",2,"Tonnes",0.25,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Gram","201.0","Pulses","Rabi",82642,"Hectare",19751,"Tonnes",0.239,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Gram","201.0","Pulses","Total",82650,"Hectare",19753,"Tonnes",0.239,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Groundnut","1001.0","Oilseeds","Kharif",497162,"Hectare",77557,"Tonnes",0.156,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Groundnut","1001.0","Oilseeds","Rabi",42599,"Hectare",48222,"Tonnes",1.132,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Groundnut","1001.0","Oilseeds","Total",539761,"Hectare",125779,"Tonnes",0.233,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Horse-Gram","206.0","Pulses","Kharif",2214,"Hectare",445,"Tonnes",0.201,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Horse-Gram","206.0","Pulses","Rabi",794,"Hectare",55,"Tonnes",0.069,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Horse-Gram","206.0","Pulses","Total",3008,"Hectare",500,"Tonnes",0.166,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Jowar","102.0","Cereals","Kharif",1059,"Hectare",455,"Tonnes",0.43,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Jowar","102.0","Cereals","Rabi",2097,"Hectare",1361,"Tonnes",0.649,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Jowar","102.0","Cereals","Total",3156,"Hectare",1816,"Tonnes",0.575,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Linseed","1005.0","Oilseeds","Kharif",11,"Hectare",0,"Tonnes",0,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Maize","104.0","Cereals","Kharif",23409,"Hectare",39093,"Tonnes",1.67,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Maize","104.0","Cereals","Rabi",8938,"Hectare",47327,"Tonnes",5.295,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Maize","104.0","Cereals","Total",32347,"Hectare",86420,"Tonnes",2.672,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Moong(Green Gram)","204.0","Pulses","Kharif",805,"Hectare",89,"Tonnes",0.111,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Moong(Green Gram)","204.0","Pulses","Rabi",537,"Hectare",135,"Tonnes",0.251,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Moong(Green Gram)","204.0","Pulses","Total",1342,"Hectare",224,"Tonnes",0.167,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Other Kharif Pulses","288.0","Pulses","Kharif",9,"Hectare",3,"Tonnes",0.333,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Other Kharif Pulses","288.0","Pulses","Rabi",20,"Hectare",37,"Tonnes",1.85,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Other Kharif Pulses","288.0","Pulses","Total",29,"Hectare",40,"Tonnes",1.379,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Other Oilseeds","1088.0","Oilseeds","Kharif",8,"Hectare",3,"Tonnes",0.375,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Other Rabi Pulses","288.0","Pulses","Rabi",20,"Hectare",37,"Tonnes",1.85,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Potato","701.0","Vegetable","Kharif",18,"Hectare",152,"Tonnes",8.444,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Potato","701.0","Vegetable","Rabi",33,"Hectare",278,"Tonnes",8.424,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Potato","701.0","Vegetable","Total",51,"Hectare",430,"Tonnes",8.431,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Ragi","105.0","Cereals","Kharif",2505,"Hectare",1548,"Tonnes",0.618,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Ragi","105.0","Cereals","Rabi",690,"Hectare",1934,"Tonnes",2.803,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Ragi","105.0","Cereals","Total",3195,"Hectare",3482,"Tonnes",1.09,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Rapeseed &Mustard","1004.0","Oilseeds","Rabi",1,"Hectare",1,"Tonnes",1,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Rice","101.0","Cereals","Kharif",23267,"Hectare",48411,"Tonnes",2.081,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Rice","101.0","Cereals","Rabi",9099,"Hectare",23669,"Tonnes",2.601,"Tonnes/Hectare"
"2021-2022","Andhra Pradesh","28","Ananthapuramu","502","Rice","101.0","Cereals","Total",32366,"Hectare",72080,"Tonnes",2.227,"Tonnes/Hectare"
